num_iters,num_found_examples,duration
1,1,0.34911179542541504
10,4,0.3655414581298828
100,67,0.37453579902648926
1000,665,0.5571753978729248
5000,3215,1.1722290515899658
10000,6459,1.629030704498291
50000,32129,5.495678186416626
